year,date,saros,type,ge_sun_alt,ge_lat,ge_lon,sunset_min_alt,sunset_max_dur_s,sunset_entry_lat,sunset_entry_lon,sunset_end_lat,sunset_end_lon,sunrise_min_alt,sunrise_max_dur_s,sunrise_entry_lat,sunrise_entry_lon,sunrise_end_lat,sunrise_end_lon
-1813,-1813-06-25,27,T,35.5,74.12,-23.11,1.5,161.5,60.51,123.87,58.33,127.69,2.6,168.9,43.64,-72.25,40.05,-78.78
-1811,-1811-10-29,14,T,88.3,-6.84,-79.31,2.8,112.2,-27.58,-24.15,-26.73,-14.75,2.5,112.1,27.20,-127.30,29.27,-136.84
-1810,-1810-10-18,24,T,49.4,-38.40,25.48,4.3,45.5,-70.00,118.10,-70.00,118.10,2.2,55.1,-13.13,-9.22,-11.40,-19.40
-1808,-1808-03-03,1,T,46.3,-49.77,159.67,4.1,135.8,-20.69,-164.93,-18.05,-157.30,1.8,119.1,-67.36,34.12,-67.36,34.12
-1807,-1807-02-21,11,Tm,88.2,-14.36,-116.79,4.9,173.1,20.96,-69.95,23.11,-64.16,4.5,176.3,-24.15,-174.45,-22.33,177.95
-1806,-1806-02-10,21,T,39.8,28.25,-2.59,3.4,42.5,60.92,40.45,60.92,40.45,4.4,51.2,24.66,-36.46,26.46,-42.75
-1804,-1804-06-15,8,T,60.5,51.36,6.61,4.6,164.6,35.15,80.46,32.71,86.13,2.1,163.0,27.91,-57.35,24.28,-65.49
-1803,-1803-06-05,18,T,73.9,3.98,165.20,4.2,21.8,-3.69,-147.57,-6.43,-140.07,4.2,14.1,-18.22,118.83,-21.01,112.09
-1799,-1799-03-23,20,T,54.3,-38.86,22.59,4.3,133.9,-19.63,66.88,-18.28,75.29,2.4,125.8,-53.98,-53.82,-53.48,-62.16
-1797,-1797-07-27,7,T,42.2,-25.04,12.94,4.6,21.7,-40.66,53.05,-42.38,56.59,3.6,27.4,-37.34,-26.30,-39.81,-31.62
-1796,-1796-07-16,17,T,88.7,24.98,154.75,3.8,179.4,8.16,-149.98,4.95,-143.02,5.6,183.1,3.71,102.16,0.86,96.24
-1795,-1795-07-06,27,T,41.4,71.52,-117.68,3.8,155.0,52.72,-4.84,51.39,-2.29,3.1,158.5,41.91,175.40,38.97,169.87
-1793,-1793-11-09,14,Tm,88.4,-10.99,145.19,2.0,110.7,-26.25,-157.57,-24.52,-147.74,2.9,110.6,24.06,98.57,26.69,89.74
-1792,-1792-10-29,24,T,49.5,-42.86,-108.78,3.9,32.7,-68.41,-3.38,-68.41,-3.38,2.6,41.7,-15.14,-143.75,-12.64,-153.44
-1790,-1790-03-14,1,T,42.0,-48.67,45.07,2.8,155.0,-22.73,76.98,-20.22,86.23,1.7,136.0,-74.47,-84.89,-74.47,-84.89
-1789,-1789-03-04,11,T,89.1,-13.23,122.88,5.6,181.3,21.79,169.60,23.50,175.12,4.9,180.4,-28.69,63.61,-27.64,57.28
-1788,-1788-02-22,21,T,43.1,27.19,-124.23,3.1,42.2,63.25,-76.41,63.25,-76.41,2.3,53.0,19.47,-158.04,21.60,-167.71
-1786,-1786-06-27,8,T,55.8,57.51,-102.76,2.2,150.2,35.58,-30.43,31.69,-22.25,4.4,146.6,35.95,-176.65,33.35,177.90
-1781,-1781-04-04,20,T,58.8,-30.41,-94.70,0.7,155.9,-13.69,-50.95,-12.85,-38.46,1.3,145.0,-49.39,-163.00,-49.49,-172.22
-1779,-1779-08-07,7,T,38.0,-30.77,-106.97,4.0,19.6,-49.21,-65.28,-50.31,-62.95,3.8,27.4,-38.37,-145.11,-40.40,-150.17
-1778,-1778-07-27,17,T,88.1,20.83,36.99,1.5,178.2,1.24,88.62,-3.14,98.37,4.7,179.3,4.59,-16.39,1.71,-22.89
-1777,-1777-07-17,27,T,46.3,67.35,139.18,4.5,149.0,45.69,-131.90,43.72,-127.94,2.0,148.1,41.66,61.75,38.25,54.98
-1776,-1776-11-30,4,T,44.5,23.74,-110.03,1.9,24.8,20.39,-74.15,23.22,-64.89,2.6,15.6,57.88,-157.39,57.88,-157.39
-1775,-1775-11-19,14,T,88.4,-14.69,9.99,2.5,111.3,-24.05,68.37,-21.79,77.35,2.2,110.4,20.39,-36.29,23.64,-45.22
-1774,-1774-11-09,24,T,49.3,-47.49,117.17,1.2,19.7,-64.39,-123.49,-64.39,-123.49,2.1,30.5,-17.86,81.08,-14.55,71.05
-1772,-1772-03-25,1,T,36.7,-48.29,-68.26,4.1,173.4,-26.25,-39.78,-24.52,-31.85,,,,,,
-1771,-1771-03-14,11,T,85.9,-12.08,5.02,2.2,188.3,21.55,51.93,23.60,61.32,5.5,187.0,-33.20,-53.79,-32.67,-60.18
-1770,-1770-03-04,21,T,46.9,26.38,117.63,3.4,41.5,64.40,171.49,64.40,171.49,1.6,51.6,14.51,82.69,16.07,72.26
-1768,-1768-07-07,8,T,51.1,62.54,150.27,3.6,132.1,35.20,-140.90,32.40,-135.40,4.2,127.7,43.58,61.68,41.49,57.41
-1763,-1763-04-14,20,T,63.4,-21.94,149.15,4.4,174.4,-8.22,-166.36,-8.24,-157.69,3.6,164.1,-43.67,88.39,-44.28,82.10
-1761,-1761-08-18,7,T,34.2,-36.56,129.71,3.7,16.4,-57.71,174.42,-57.71,174.42,0.8,26.8,-39.73,92.82,-42.69,83.95
-1760,-1760-08-07,17,Tm,85.3,16.25,-83.36,0.6,173.2,-5.64,-33.73,-10.11,-23.04,1.9,175.9,5.71,-136.25,1.99,-145.82
-1759,-1759-07-27,27,T,50.3,62.31,29.04,3.7,139.5,38.61,102.71,35.89,108.45,3.8,137.7,42.63,-52.73,39.85,-58.73
-1758,-1758-12-11,4,T,44.5,22.25,114.83,4.3,38.2,23.41,152.34,25.53,158.08,1.6,33.2,51.76,71.49,53.97,67.26
-1757,-1757-12-01,14,T,88.4,-17.82,-124.90,4.5,114.4,-21.23,-66.61,-18.94,-59.34,4.9,111.0,16.45,-172.02,18.82,-177.50
-1756,-1756-11-19,24,T,49.1,-52.14,-16.35,1.2,15.9,-62.54,100.06,-60.58,106.53,4.7,21.5,-21.19,-54.67,-18.16,-61.91
-1754,-1754-04-05,1,T,30.2,-49.11,-179.77,2.1,190.3,-31.64,-155.26,-30.32,-145.35,,,,,,
-1753,-1753-03-26,11,T,82.5,-10.86,-111.53,5.3,196.2,20.13,-65.11,21.28,-58.07,2.4,188.9,-37.06,-170.74,-36.85,-179.87
-1752,-1752-03-14,21,T,50.9,26.03,2.04,3.4,39.5,64.60,63.92,64.60,63.92,4.7,50.5,9.85,-33.25,10.28,-41.56
-1750,-1750-07-18,8,T,46.5,65.85,44.92,2.3,116.6,35.53,104.96,31.77,112.21,4.0,108.6,50.85,-62.71,49.57,-65.32
-1745,-1745-04-25,20,T,68.1,-13.57,33.85,1.4,188.5,-3.49,79.99,-4.56,91.19,4.9,183.8,-36.72,-19.86,-37.95,-26.51
-1743,-1743-08-28,7,T,30.8,-42.28,3.22,2.8,14.3,-65.04,50.37,-65.04,50.37,2.7,25.3,-41.45,-32.31,-43.14,-39.20
-1742,-1742-08-18,17,T,82.9,11.38,153.59,3.8,165.1,-12.23,-157.25,-15.03,-149.91,4.2,170.9,6.58,101.56,3.95,93.44
-1741,-1741-08-08,27,T,53.7,56.72,-86.04,4.4,130.0,32.30,-23.39,29.45,-16.94,3.4,125.0,43.54,-169.22,40.83,-175.97
-1740,-1740-12-22,4,T,44.3,21.73,-19.31,2.8,54.6,27.10,18.91,30.01,25.72,2.9,50.3,47.35,-61.88,49.00,-64.90
-1739,-1739-12-11,14,T,88.3,-20.06,101.40,4.9,118.3,-17.56,159.13,-15.01,165.91,4.7,116.8,11.61,54.34,14.75,47.77
-1738,-1738-12-01,24,T,49.0,-56.39,-147.55,2.1,10.0,-58.52,-31.04,-56.75,-26.37,2.6,14.2,-24.65,170.12,-20.70,161.50
-1736,-1736-04-15,1,T,21.3,-51.99,72.17,2.3,205.9,-40.14,89.92,-39.28,99.43,,,,,,
-1735,-1735-04-05,11,T,78.7,-9.93,134.03,0.8,200.8,17.68,-179.47,18.41,-167.80,1.7,191.9,-40.47,76.20,-40.99,65.88
-1734,-1734-03-26,21,T,55.2,25.93,-110.32,3.5,36.1,63.04,-40.63,63.04,-40.63,4.4,46.2,5.49,-146.68,5.28,-155.44
-1732,-1732-07-29,8,T,41.9,67.28,-59.59,3.6,99.6,35.86,-10.43,32.75,-4.47,4.4,89.3,57.88,170.30,57.88,170.30
-1730,-1730-01-11,23,T,49.0,16.84,178.80,4.6,23.2,40.76,-137.95,41.94,-135.73,3.3,32.7,24.88,138.90,27.82,132.35
