lat,lon,sun_alt,totality_secs,magnitude,ut_max_utc,sunset_utc,min_to_sunset,sunset_eclipse
40.25,-1.75,5.7,79.1,1.0323,18:32:05,19:07:55,35.8,True
40.25,-1.50,5.5,84.1,1.0323,18:32:01,19:06:55,34.9,True
40.25,-1.25,5.4,88.3,1.0322,18:31:57,19:05:55,34.0,True
40.25,-1.00,5.2,91.6,1.0322,18:31:53,19:04:55,33.0,True
40.25,-0.75,5.0,94.2,1.0321,18:31:49,19:03:55,32.1,True
40.25,-0.50,4.9,96.3,1.0321,18:31:45,19:02:55,31.2,True
40.25,-0.25,4.7,97.7,1.0320,18:31:41,19:01:55,30.2,True
40.25,0.00,4.5,98.7,1.0320,18:31:36,19:00:55,29.3,True
40.25,0.25,4.3,99.1,1.0319,18:31:32,18:59:56,28.4,True
40.25,0.50,4.2,99.2,1.0318,18:31:28,18:58:56,27.5,True
40.25,0.75,4.0,98.7,1.0318,18:31:23,18:57:56,26.5,True
40.25,1.00,3.8,97.9,1.0317,18:31:19,18:56:56,25.6,True
40.25,1.25,3.7,96.6,1.0317,18:31:14,18:55:56,24.7,True
40.25,1.50,3.5,94.9,1.0316,18:31:09,18:54:56,23.8,True
40.25,1.75,3.3,92.8,1.0316,18:31:05,18:53:56,22.9,True
40.25,2.00,3.1,90.2,1.0315,18:31:00,18:52:56,21.9,True
40.25,2.25,3.0,87.2,1.0315,18:30:55,18:51:56,21.0,True
40.25,2.50,2.8,83.7,1.0314,18:30:50,18:50:56,20.1,True
40.25,2.75,2.6,79.6,1.0314,18:30:45,18:49:56,19.2,True
40.25,3.00,2.5,74.9,1.0313,18:30:40,18:48:56,18.3,True
40.25,3.25,2.3,69.5,1.0313,18:30:35,18:47:56,17.3,True
40.25,3.50,2.1,63.3,1.0312,18:30:30,18:46:56,16.4,True
40.25,3.75,2.0,55.8,1.0312,18:30:25,18:45:56,15.5,True
40.25,4.00,1.8,46.8,1.0311,18:30:20,18:44:56,14.6,True
40.25,4.25,1.6,34.8,1.0311,18:30:14,18:43:56,13.7,True
40.25,4.50,1.5,13.8,1.0310,18:30:09,18:42:57,12.8,True
40.00,-2.25,5.9,32.7,1.0324,18:32:36,19:09:26,36.8,True
40.00,-2.00,5.8,49.1,1.0323,18:32:33,19:08:26,35.9,True
40.00,-1.75,5.6,60.2,1.0323,18:32:29,19:07:26,35.0,True
40.00,-1.50,5.4,68.7,1.0322,18:32:25,19:06:26,34.0,True
40.00,-1.25,5.2,75.4,1.0322,18:32:21,19:05:26,33.1,True
40.00,-1.00,5.1,80.9,1.0321,18:32:16,19:04:27,32.2,True
40.00,-0.75,4.9,85.3,1.0321,18:32:12,19:03:27,31.2,True
40.00,-0.50,4.7,89.0,1.0320,18:32:08,19:02:27,30.3,True
40.00,-0.25,4.5,91.9,1.0320,18:32:04,19:01:27,29.4,True
40.00,0.00,4.4,94.2,1.0319,18:31:59,19:00:27,28.5,True
40.00,0.25,4.2,96.0,1.0319,18:31:55,18:59:27,27.5,True
40.00,0.50,4.0,97.2,1.0318,18:31:51,18:58:27,26.6,True
40.00,0.75,3.9,97.9,1.0318,18:31:46,18:57:27,25.7,True
40.00,1.00,3.7,98.2,1.0317,18:31:42,18:56:27,24.8,True
40.00,1.25,3.5,98.1,1.0316,18:31:37,18:55:27,23.8,True
40.00,1.50,3.3,97.6,1.0316,18:31:32,18:54:27,22.9,True
40.00,1.75,3.2,96.7,1.0315,18:31:27,18:53:27,22.0,True
40.00,2.00,3.0,95.4,1.0315,18:31:23,18:52:27,21.1,True
40.00,2.25,2.8,93.6,1.0314,18:31:18,18:51:27,20.2,True
40.00,2.50,2.7,91.5,1.0314,18:31:13,18:50:27,19.2,True
40.00,2.75,2.5,89.0,1.0313,18:31:08,18:49:27,18.3,True
40.00,3.00,2.3,86.0,1.0313,18:31:03,18:48:27,17.4,True
