date,type,duration_hms,duration_seconds,latitude,longitude,latitude_numeric,longitude_numeric,saros_cycle,gamma,magnitude,path_width_km
-1960-10-26,Total,00:01:31,91,21.0N,132.2E,20.97267000,132.21857000,2,.52714000,1.01753000,69.60000000
-1959-04-21,Annular,00:00:14,14,0.6N,94.7W,.61577000,-94.73395000,7,-.09225000,.99767000,8.20000000
-1959-10-16,Annular,00:03:23,203,11.1S,42.0W,-11.13960000,-42.04529000,12,-.16878000,.96650000,122.30000000
-1958-04-10,Total,00:03:32,212,37.0N,64.7E,37.02470000,64.71252000,17,.67190000,1.04679000,206.20000000
-1958-10-05,Annular,00:07:16,436,49.8S,124.6W,-49.77374000,-124.58429000,22,-.89144000,.91834000,663.60000000
-1957-03-02,Partial,,,61.4S,74.5E,-61.42230000,74.54950000,-11,-1.15725000,.71690000,.00000000
-1957-03-31,Partial,,,60.7N,119.5E,60.68279000,119.47046000,27,1.37436000,.29859000,.00000000
-1957-08-25,Partial,,,62.0N,48.2W,61.98092000,-48.21423000,-6,1.39376000,.28844000,.00000000
-1957-09-24,Partial,,,60.7S,147.1W,-60.68601000,-147.14087000,32,-1.56602000,.00614000,.00000000
-1956-02-19,Total,00:01:25,85,42.2S,111.9E,-42.18995000,111.88623000,-1,-.46489000,1.01756000,67.60000000
-1956-08-13,Hybrid,00:00:25,25,54.4N,100.8E,54.39114000,100.75153000,4,.61003000,1.00537000,23.40000000
-1955-02-08,Annular,00:04:41,281,4.4S,33.4W,-4.40260000,-33.37476000,9,.28108000,.96077000,147.70000000
-1955-08-03,Total,00:05:22,322,14.5N,130.1W,14.50328000,-130.08698000,14,-.13585000,1.05892000,195.60000000
-1954-01-28,Annular,,,63.4N,84.9W,63.44353000,-84.87073000,19,1.01920000,.92072000,.00000000
-1954-07-24,Total,00:04:51,291,34.1S,31.5W,-34.09321000,-31.47107000,24,-.84938000,1.05803000,361.30000000
-1954-12-18,Partial,,,67.3S,17.7E,-67.31363000,17.68280000,-9,-1.25184000,.53181000,.00000000
-1953-06-14,Partial,,,68.0N,99.1E,67.99506000,99.05579000,-4,1.02232000,.94889000,.00000000
-1953-12-07,Hybrid,00:00:52,52,50.8S,46.4E,-50.80842000,46.44818000,1,-.50502000,1.01066000,42.60000000
-1952-06-02,Annular,00:04:34,274,34.9N,178.5E,34.86055000,178.49023000,6,.27344000,.95948000,153.00000000
-1952-11-26,Total,00:04:18,258,7.7S,164.7W,-7.71912000,-164.71106000,11,.17922000,1.04523000,153.10000000
-1951-05-22,Annular,00:06:34,394,13.1S,176.9E,-13.09154000,176.85748000,16,-.49453000,.95017000,209.20000000
-1951-11-16,Total,00:01:44,104,42.4N,22.8W,42.41300000,-22.79919000,21,.85201000,1.02110000,137.10000000
