efficiency_rank,calendar_date,eclipse_count,avg_duration,avg_secs,cumulative_duration,cumulative_secs,count_rank,cumulative_rank,overperformer_delta
257,Jan 2,8,3m10.26s,190.26,25m22.10s,1522.10,174,227,-83
258,Dec 8,6,3m08.90s,188.90,18m53.40s,1133.40,263,293,5
259,Aug 25,8,3m08.88s,188.88,25m11.00s,1511.00,174,231,-85
260,Nov 11,5,3m08.80s,188.80,15m44.00s,944.00,307,313,47
261,Oct 22,9,3m08.61s,188.61,28m17.50s,1697.50,128,193,-133
262,Dec 15,8,3m08.30s,188.30,25m06.40s,1506.40,174,233,-88
263,Feb 15,11,3m08.15s,188.15,34m29.60s,2069.60,50,131,-213
264,Dec 16,8,3m07.15s,187.15,24m57.20s,1497.20,174,236,-90
265,Jan 3,9,3m06.80s,186.80,28m01.20s,1681.20,128,197,-137
266,Feb 13,4,3m06.60s,186.60,12m26.40s,746.40,331,338,65
267,Jan 26,3,3m06.00s,186.00,9m18.00s,558.00,352,353,85
268,Sep 25,10,3m05.96s,185.96,30m59.60s,1859.60,86,165,-182
269,Jan 25,8,3m05.84s,185.84,24m46.70s,1486.70,174,237,-95
270,Nov 29,8,3m05.78s,185.78,24m46.20s,1486.20,174,238,-96
271,Mar 17,3,3m05.67s,185.67,9m17.00s,557.00,352,354,81
272,Jan 14,8,3m05.59s,185.59,24m44.70s,1484.70,174,239,-98
273,Feb 21,9,3m05.54s,185.54,27m49.90s,1669.90,128,200,-145
274,Nov 28,6,3m05.23s,185.23,18m31.40s,1111.40,263,294,-11
275,Nov 1,4,3m04.85s,184.85,12m19.40s,739.40,331,339,56
276,Oct 30,8,3m04.75s,184.75,24m38.00s,1478.00,174,240,-102
277,Feb 10,9,3m04.12s,184.12,27m37.10s,1657.10,128,203,-149
278,Aug 31,9,3m03.78s,183.78,27m34.00s,1654.00,128,204,-150
279,Feb 5,7,3m03.19s,183.19,21m22.30s,1282.30,225,271,-54
280,Jan 4,5,3m02.84s,182.84,15m14.20s,914.20,307,315,27
281,Feb 12,8,3m02.70s,182.70,24m21.60s,1461.60,174,242,-107
282,Sep 30,7,3m01.99s,181.99,21m13.90s,1273.90,225,273,-57
283,Dec 12,10,3m01.86s,181.86,30m18.60s,1818.60,86,172,-197
284,Oct 27,8,3m01.16s,181.16,24m09.30s,1449.30,174,244,-110
285,Jan 18,9,3m00.68s,180.68,27m06.10s,1626.10,128,206,-157
286,Jan 22,10,3m00.39s,180.39,30m03.90s,1803.90,86,173,-200
287,Oct 2,8,3m00.26s,180.26,24m02.10s,1442.10,174,248,-113
288,Feb 7,4,2m59.80s,179.80,11m59.20s,719.20,331,341,43
289,Oct 7,11,2m59.55s,179.55,32m55.00s,1975.00,50,143,-239
290,Feb 8,15,2m59.54s,179.54,44m53.10s,2693.10,2,64,-288
291,Nov 24,11,2m58.48s,178.48,32m43.30s,1963.30,50,146,-241
292,Oct 24,4,2m58.40s,178.40,11m53.60s,713.60,331,342,39
293,Jul 20,8,2m57.60s,177.60,23m40.80s,1420.80,174,251,-119
294,Oct 17,9,2m57.57s,177.57,26m38.10s,1598.10,128,210,-166
295,Dec 20,5,2m57.10s,177.10,14m45.50s,885.50,307,317,12
296,Nov 27,5,2m57.04s,177.04,14m45.20s,885.20,307,318,11
297,Nov 12,5,2m57.02s,177.02,14m45.10s,885.10,307,319,10
298,Feb 17,3,2m57.00s,177.00,8m51.00s,531.00,352,357,54
299,Nov 10,7,2m56.87s,176.87,20m38.10s,1238.10,225,277,-74
300,Oct 28,5,2m56.86s,176.86,14m44.30s,884.30,307,321,7
301,Dec 31,10,2m56.69s,176.69,29m26.90s,1766.90,86,183,-215
302,Nov 21,6,2m56.28s,176.28,17m37.70s,1057.70,263,301,-39
303,Nov 20,10,2m56.20s,176.20,29m22.00s,1762.00,86,184,-217
304,Aug 3,11,2m55.71s,175.71,32m12.80s,1932.80,50,153,-254
305,Sep 18,6,2m55.17s,175.17,17m31.00s,1051.00,263,302,-42
306,Feb 1,7,2m54.94s,174.94,20m24.60s,1224.60,225,278,-81
307,Nov 4,6,2m54.63s,174.63,17m27.80s,1047.80,263,303,-44
308,Oct 6,4,2m54.62s,174.62,11m38.50s,698.50,331,344,23
309,Oct 23,12,2m53.52s,173.52,34m42.20s,2082.20,26,128,-283
310,Dec 21,8,2m53.43s,173.43,23m07.40s,1387.40,174,256,-136
311,Jan 30,11,2m53.42s,173.42,31m47.60s,1907.60,50,159,-261
312,Aug 21,3,2m53.03s,173.03,8m39.10s,519.10,352,358,40
313,Jan 10,5,2m51.48s,171.48,14m17.40s,857.40,307,323,-6
314,Dec 27,9,2m50.82s,170.82,25m37.40s,1537.40,128,221,-186
