year,date,saros,type,ge_sun_alt,corridor_min_sun_alt,land_min_sun_alt,corridor_max_totality_s,continents,countries,closest_town,closest_cc,closest_dist_km,land_lat,land_lon,lat_range,lon_range
2345,2345-06-30,142,T,70.7,4.5,9.0,209.4,North America,BB VC,Layou,VC,41,12.52,-60.32,10.6..13.8,-62.8..-56.4
2301,2301-05-09,133,T,44.1,4.5,4.5,110.9,Africa,BW ZW,Mosetse,BW,27,-21.75,31.38,-21.8..-20.1,24.8..31.4
2247,2247-04-06,133,T,55.6,4.5,4.5,103.1,Africa,CD,Luebo,CD,9,-5.60,29.39,-5.6..-5.4,21.4..29.4
2404,2404-05-09,154,T,60.6,4.5,4.5,38.4,South America,BO,Mapiri,BO,11,-17.20,-61.82,-17.2..-15.0,-69.1..-61.8
2664,2664-05-17,158,T,78.3,4.5,7.1,103.1,South America,EC,Puerto Villamil,EC,103,-1.88,-91.00,-2.7..-0.0,-96.2..-88.7
2505,2505-06-03,155,T,71.3,4.5,4.5,112.4,Africa,MA,Taliouine,MA,18,30.67,-7.83,30.7..33.1,-13.7..-7.8
2222,2222-08-08,139,T,67.4,4.6,7.1,226.5,Oceania,AU,Roxby Downs,AU,51,-30.31,137.34,-31.2..-29.1,133.9..140.0
2819,2819-01-17,154,T,51.7,4.6,4.6,121.0,Asia,CN,Koramlik,CN,80,38.28,89.14,36.5..38.3,85.0..89.1
2957,2957-08-16,170,T,84.4,4.6,10.8,203.3,South America,CL,Ostrov Paskhi,CL,87,-26.78,-108.56,-28.7..-26.8,-108.6..-102.3
2592,2592-04-03,158,T,66.9,4.6,4.6,100.1,Africa,CD,Kongolo,CD,19,-5.54,27.07,-5.5..-5.1,18.5..27.1
2965,2965-09-16,179,T,52.1,4.6,9.8,156.1,Asia,SA,As Sulayyil,SA,76,20.93,46.12,20.5..21.3,43.0..51.3
2573,2573-04-03,148,T,73.5,4.6,4.6,158.8,Europe,CY GR,Ierapetra,GR,81,33.88,32.75,33.9..34.3,25.9..32.8
2798,2798-09-02,167,T,78.3,4.7,12.1,202.0,South America,BR,Fernando de Noronha (Distrito Estadual),BR,102,-2.95,-32.19,-4.2..-2.7,-33.3..-25.3
2263,2263-06-06,151,T,57.3,4.7,4.7,45.1,North America,US,West Branch,US,13,42.51,-79.93,42.5..44.4,-84.3..-79.9
2243,2243-12-12,136,T,51.0,4.7,4.7,105.6,Asia,AE OM,Al Buraymi,OM,47,24.60,55.53,22.1..24.6,49.7..55.5
2435,2435-08-24,142,T,46.3,4.7,4.7,192.4,Asia,LA MM TH,Pong,TH,11,17.89,104.87,17.9..20.2,97.5..104.9
2063,2063-08-24,136,T,73.8,4.7,4.7,205.7,Oceania,PF,Taiohae,PF,72,-9.17,-140.69,-9.2..-6.9,-148.4..-140.7
2283,2283-04-28,133,T,48.7,4.7,8.3,111.0,Oceania,AU,Cooktown,AU,114,-14.46,145.47,-15.1..-13.8,141.4..148.9
2215,2215-12-21,145,T,86.1,4.8,9.2,69.4,Africa,SO,Ceeldheer,SO,28,4.72,48.38,3.5..6.6,45.9..52.3
2606,2606-01-01,151,T,67.3,4.8,4.8,96.7,Oceania,WF,Sigave,WF,82,-13.55,-178.14,-16.6..-13.6,-178.1..179.7
2960,2960-12-09,167,T,81.1,4.8,4.8,66.9,South America,BR,Cacimbinhas,BR,5,-9.37,-37.03,-12.3..-9.4,-43.4..-37.0
2537,2537-03-12,148,T,76.9,4.8,4.8,139.8,North America,US,Port Saint Joe,US,9,30.32,-80.52,29.7..30.3,-87.0..-80.5
2142,2142-05-25,130,T,53.3,4.8,4.8,108.2,Asia,CN,Kuancheng,CN,11,40.61,118.35,40.6..42.3,114.2..118.4
2534,2534-11-07,161,T,69.5,4.8,13.1,148.0,Asia,LK,Tangalla,LK,81,5.39,81.16,5.4..7.5,81.2..88.7
2808,2808-08-13,158,T,67.4,4.8,4.8,24.3,Asia,ID,Tinabogan,ID,33,-0.66,123.98,-0.7..1.8,117.0..124.0
2114,2114-06-03,139,T,86.8,4.8,4.8,209.0,Asia,LA TH VN,Vangviang,LA,8,16.77,108.02,16.8..19.5,101.2..108.0
2548,2548-08-05,154,Tm,84.9,4.8,7.4,143.5,Oceania,AU,Alyangula,AU,56,-14.33,136.23,-15.2..-12.6,132.0..138.6
2135,2135-10-07,136,T,60.6,4.9,7.2,176.4,Asia,ID,Pangkalanbunut,ID,4,0.34,103.72,0.3..0.4,97.7..105.9
2324,2324-02-25,145,Tm,88.6,4.9,4.9,114.0,Africa,EH,Laayoune Plage,EH,79,27.44,-14.11,25.9..27.4,-20.3..-14.1
2157,2157-02-09,133,T,64.0,4.9,4.9,83.7,South America,BR,Coari,BR,35,-2.74,-59.17,-5.3..-2.7,-66.2..-59.2
2309,2309-06-09,142,T,79.3,4.9,4.9,209.5,Oceania,MH,Rongelap,MH,13,11.21,166.79,11.2..14.1,160.4..166.8
2714,2714-03-08,151,T,64.1,4.9,4.9,138.8,Asia,ID MY,Tanjungpinang,ID,26,2.19,110.59,0.6..2.2,102.3..110.6
2261,2261-12-22,136,T,50.4,4.9,7.0,93.6,North America,US,South Venice,US,15,28.18,-79.77,26.9..29.1,-82.5..-77.8
2212,2212-08-27,148,T,78.8,4.9,9.2,96.4,Africa,ZA,Hermanus,ZA,106,-35.33,18.88,-36.5..-35.3,18.9..23.8
2248,2248-09-18,148,T,85.8,4.9,10.9,100.0,Oceania,AU,Forster,AU,39,-32.43,152.81,-33.1..-32.4,152.8..159.4
2671,2671-06-28,157,T,88.0,4.9,9.3,139.1,South America,CO,Fomeque,CO,7,3.94,-72.55,2.2..5.1,-75.0..-68.8
2628,2628-04-26,158,T,71.9,5.0,5.0,104.1,Asia/Oceania,ID PG,Genyem,ID,11,-3.35,143.99,-3.3..-1.7,136.6..144.0
2638,2638-09-29,154,T,66.3,5.0,5.0,155.3,South America,BR PE,Requena,PE,19,-5.38,-68.63,-5.4..-5.0,-77.1..-68.6
2229,2229-03-26,133,T,58.2,5.0,5.0,98.9,Oceania,PG,Wewak,PG,59,-2.65,151.83,-3.1..-2.6,144.0..151.8
2034,2034-03-20,130,T,73.1,5.0,9.2,115.9,Asia,CN,Zangkaxa,CN,82,34.49,81.70,34.4..34.7,80.0..86.6
2606,2606-12-21,161,T,73.3,5.0,5.0,93.6,North America,DO HT,Pueblo Viejo,DO,21,18.24,-70.88,15.8..18.2,-76.0..-70.9
2381,2381-07-22,142,T,61.4,5.0,7.3,207.0,Asia,IN,Dod Ballapur,IN,7,12.67,79.07,11.8..15.0,74.3..81.1
2946,2946-03-24,164,T,88.5,5.1,9.3,35.3,Asia,SA,Al Majaridah,SA,7,19.18,41.95,19.1..19.2,39.2..46.2
2591,2591-04-14,148,T,71.2,5.1,5.1,167.4,North America,US,Stilwell,US,4,34.88,-88.08,34.9..35.8,-94.6..-88.1
2645,2645-05-17,148,T,61.8,5.1,5.1,183.0,North America,US,Grifton,US,9,35.33,-77.35,35.3..37.4,-83.2..-77.4
2458,2458-06-11,154,T,73.2,5.1,7.5,97.1,South America,BR,Ubaitaba,BR,9,-14.30,-39.41,-15.3..-12.4,-43.3..-37.3
2834,2834-09-24,167,T,85.3,5.1,9.5,182.1,Oceania,CC,West Island,CC,91,-12.90,96.49,-13.0..-12.7,92.6..100.7
2410,2410-12-26,148,T,80.8,5.1,5.1,92.3,Asia,ID MY,Sarikei,MY,13,3.07,113.55,0.3..3.1,107.4..113.5
2559,2559-07-06,155,Tm,84.1,5.2,5.2,101.3,Africa,CM NG,Sankera,NG,8,6.67,11.72,6.7..9.4,5.7..11.7
2700,2700-06-09,158,Tm,85.8,5.2,9.4,92.7,Africa,KE SO,Garissa,KE,74,-1.17,42.56,-2.8..-0.1,40.2..46.2
2902,2902-07-26,160,T,64.6,5.2,5.2,171.1,Oceania,FM,Rumung,FM,30,7.63,143.11,7.6..10.6,136.4..143.1
2953,2953-05-04,163,T,81.8,5.3,11.0,104.1,Africa,TD,Fada,TD,35,16.61,22.72,15.3..16.9,21.5..28.1
2360,2360-03-18,145,T,89.0,5.4,5.4,139.5,Asia,BT CN IN NP,Lhuentse,BT,13,27.96,93.73,27.4..28.0,87.6..93.7
2747,2747-11-24,164,T,84.5,5.4,5.4,103.3,Africa,BW ZA,Lobatse,BW,8,-23.28,31.28,-25.2..-23.3,25.7..31.3
2374,2374-12-04,148,T,81.7,5.4,5.4,90.8,Africa,AO CD,Kasongo-Lunda,CD,8,-6.55,16.85,-9.0..-6.5,10.7..16.8
2602,2602-09-08,154,T,73.1,5.4,7.7,153.7,Oceania,SB,Kirakira,SB,81,-10.47,161.18,-10.8..-9.4,156.0..163.4
2483,2483-02-07,148,T,79.6,5.4,12.4,114.4,North America,AI,Island Harbour,AI,49,18.49,-62.62,18.5..20.7,-62.6..-56.0
2353,2353-07-31,151,T,80.9,5.4,7.7,115.0,Asia,MV,Veymandoo,MV,34,2.12,72.80,1.4..3.7,68.8..74.9
2252,2252-01-12,145,T,86.6,5.4,7.8,77.0,Oceania,GU,Yigo Village,GU,20,13.71,144.91,12.3..14.7,142.0..147.0
2924,2924-11-18,167,T,83.3,5.5,11.1,98.4,Oceania,PF,Haapiti,PF,38,-17.32,-148.98,-17.7..-15.5,-150.2..-143.8
2566,2566-08-16,154,T,80.8,5.5,5.5,147.7,Africa,AO ZM,Kasempa,ZM,3,-14.10,28.00,-14.1..-12.0,21.7..28.0
2718,2718-06-20,158,T,89.9,5.5,7.8,85.8,South America,BR,Maraa,BR,21,-2.01,-65.34,-2.9..-0.1,-69.1..-63.4
