year,date,saros,type,ge_sun_alt,corridor_min_sun_alt,corridor_max_totality_s,entry_lat,entry_lon,end_lat,end_lon,lat_range,lon_range
2472,2472-09-03,152,T,85.0,5.3,47.9,-20.86,-9.97,-22.29,-3.16,-22.3..-20.9,-10.0..-3.2
2743,2743-08-12,157,T,70.5,5.3,175.5,-27.42,-164.04,-29.23,-158.46,-29.2..-27.4,-164.0..-158.5
2360,2360-03-18,145,T,89.0,5.4,139.5,27.41,87.58,27.96,93.73,27.4..28.0,87.6..93.7
2747,2747-11-24,164,T,84.5,5.4,103.3,-25.19,25.75,-23.28,31.28,-25.2..-23.3,25.7..31.3
2715,2715-02-26,161,T,75.5,5.4,60.2,38.82,-139.33,39.98,-134.49,38.8..40.0,-139.3..-134.5
2374,2374-12-04,148,T,81.7,5.4,90.8,-8.98,10.68,-6.55,16.85,-9.0..-6.5,10.7..16.8
2649,2649-08-30,155,T,74.1,5.4,27.0,-29.40,175.15,-30.60,-179.12,-30.6..-29.4,-179.1..178.5
2899,2899-04-01,163,T,88.8,5.4,41.9,27.81,17.71,27.72,25.09,27.7..27.8,17.7..25.1
2602,2602-09-08,154,T,73.1,5.4,153.7,-9.36,155.96,-10.83,163.37,-10.8..-9.4,156.0..163.4
2483,2483-02-07,148,T,79.6,5.4,114.4,18.49,-62.62,20.67,-55.98,18.5..20.7,-62.6..-56.0
2089,2089-10-04,145,T,77.4,5.4,74.6,-5.41,-149.20,-5.17,-141.74,-5.4..-5.2,-149.2..-141.7
2353,2353-07-31,151,T,80.9,5.4,115.0,3.67,68.84,1.36,74.88,1.4..3.7,68.8..74.9
2823,2823-05-02,161,Tm,86.1,5.4,65.8,29.19,-146.16,27.87,-140.34,27.9..29.2,-146.2..-140.3
2620,2620-09-18,154,T,69.5,5.4,154.0,-7.48,40.83,-8.37,48.15,-8.4..-7.5,40.8..48.1
2342,2342-03-08,145,T,89.6,5.4,126.5,27.25,-147.56,28.28,-141.52,27.2..28.3,-147.6..-141.5
2888,2888-10-26,167,T,86.8,5.4,132.7,-19.29,95.98,-17.91,102.78,-19.3..-17.9,96.0..102.8
2816,2816-09-13,167,T,81.9,5.4,194.2,-8.16,-150.19,-9.08,-142.50,-9.1..-8.2,-150.2..-142.5
2252,2252-01-12,145,T,86.6,5.4,77.0,12.32,142.04,14.69,147.04,12.3..14.7,142.0..147.0
2497,2497-10-26,151,T,73.0,5.5,113.7,-32.79,-136.30,-31.61,-130.32,-32.8..-31.6,-136.3..-130.3
2924,2924-11-18,167,T,83.3,5.5,98.4,-17.73,-150.19,-15.51,-143.79,-17.7..-15.5,-150.2..-143.8
2566,2566-08-16,154,T,80.8,5.5,147.7,-12.00,21.70,-14.10,28.00,-14.1..-12.0,21.7..28.0
2313,2313-09-21,149,T,87.7,5.5,47.7,-14.80,51.93,-15.33,59.62,-15.3..-14.8,51.9..59.6
2718,2718-06-20,158,T,89.9,5.5,85.8,-0.15,-69.14,-2.94,-63.37,-2.9..-0.1,-69.1..-63.4
2183,2183-03-23,142,T,79.3,5.5,144.9,6.91,-96.75,7.15,-89.17,6.9..7.1,-96.8..-89.2
2197,2197-12-09,145,T,85.7,5.6,67.7,-0.41,177.17,2.27,-176.91,-0.4..2.3,-178.9..179.5
2027,2027-08-02,136,T,81.7,5.6,214.4,-8.11,79.08,-10.65,85.20,-10.6..-8.1,79.1..85.2
